attraction_slug,step_order,kind,title,description,images
alhambra,1,reach,How to reach,"Fly into Granada (GRX), about 25 minutes by car, or Málaga (AGP), about 1 hour 30 minutes by road. High-speed trains link Madrid with Granada in around 3 hours 30 minutes. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
alhambra,2,prepare,What to prepare,"Tickets sell out weeks ahead, so book early; entry to the Nasrid Palaces is at a fixed time that is strictly kept. Carry the passport used on the booking. Wear comfortable shoes and bring sun protection. A Schengen visa is required.",
alhambra,3,custom,Best time to visit,"March to May and October to November are ideal, with mild weather and gardens in flower in spring. Take an early palace slot, and return for a night visit, when the palaces are softly lit and quiet.",
alhambra,4,custom,Make it special,"Book a private guide who reads the Arabic inscriptions, then watch sunset over the Alhambra from the Mirador de San Nicolás in the Albaicín.",
sagrada-familia,1,reach,How to reach,"Fly into Barcelona El Prat (BCN), about 30 minutes by car to the basilica. Sagrada Família metro station, on lines 2 and 5, is beside it. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
sagrada-familia,2,prepare,What to prepare,"Book timed tickets online in advance, with tower access if you want it. Shoulders should be covered and very short shorts avoided. The tower descent is by narrow spiral stairs. A Schengen visa is required.",
sagrada-familia,3,custom,Best time to visit,"Any season works. Visit in the late afternoon, when sunlight through the western windows fills the nave with red and gold; mornings bring the cooler blue light of the eastern side.",
real-alcazar-seville,1,reach,How to reach,"Fly into Seville (SVQ), about 20-25 minutes by car to the centre. High-speed AVE trains from Madrid reach Seville in about 2 hours 30 minutes. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
real-alcazar-seville,2,prepare,What to prepare,Book a timed ticket online in advance; the royal apartments on the upper floor need a separate reservation. Bring sun protection and water. A Schengen visa is required.,
real-alcazar-seville,3,custom,Best time to visit,"March to May and October to November are pleasant; spring brings orange blossom and Seville's festivals. Summer afternoons often exceed 40°C, so visit at opening.",
prado-museum,1,reach,How to reach,"Fly into Madrid-Barajas (MAD), about 25-30 minutes by car to the museum. Banco de España and Atocha metro stations are each a short walk away. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
prado-museum,2,prepare,What to prepare,Buy timed tickets online to avoid queues. Photography is not permitted in the galleries. Large bags go to the cloakroom. A Schengen visa is required.,
prado-museum,3,custom,Best time to visit,"Any season suits a museum, but spring and autumn are best for walking between Madrid's galleries and the Retiro Park. Weekday mornings are quietest.",
prado-museum,4,custom,Make it special,"Arrange a private guided visit focused on Velázquez and Goya, then lunch in the Retiro Park or at the Ritz terrace opposite.",
matterhorn-gornergrat,1,reach,How to reach,"Fly into Zurich (ZRH) or Geneva (GVA). Trains reach Zermatt in about 3 hours 30 minutes to 4 hours, changing at Visp. Zermatt is car-free, so drivers park at Täsch and take the 12-minute shuttle train. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
matterhorn-gornergrat,2,prepare,What to prepare,"Bring warm layers, sunglasses and sun cream; it is cold and bright at altitude even in summer. Check the summit webcams before buying tickets, as cloud can hide the peak. A Schengen visa is required.",
matterhorn-gornergrat,3,custom,Best time to visit,July to September for hiking and clear views; December to April for snow. Take the first train of the morning for the calmest weather and the best chance of a cloud-free Matterhorn.,
matterhorn-gornergrat,4,custom,Make it special,"Book a private mountain guide for a glacier walk, or a helicopter flight around the Matterhorn from Zermatt's heliport.",
jungfraujoch,1,reach,How to reach,"Fly into Zurich (ZRH); trains reach Interlaken in about 2 hours. From Interlaken, allow around 2 hours to the Jungfraujoch via Grindelwald and the Eiger Express, or via Lauterbrunnen and Kleine Scheidegg. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
jungfraujoch,2,prepare,What to prepare,"Reserve seats on the final train in high season. Bring warm clothes, sunglasses and sun cream. Move slowly at the top; the thin air can cause headaches and breathlessness. A Schengen visa is required.",
jungfraujoch,3,custom,Best time to visit,"Clear days from June to September give the widest views, but winter can be equally bright. Go on the first trains of the morning, before clouds build and crowds arrive.",
jungfraujoch,4,custom,Make it special,"Stay at the Victoria-Jungfrau in Interlaken, and arrange a private guide to walk from the Jungfraujoch across the glacier to the Mönchsjoch Hut in summer.",
lucerne-chapel-bridge,1,reach,How to reach,"Fly into Zurich (ZRH). Direct trains reach Lucerne in about 1 hour, and the Chapel Bridge is a few minutes' walk from the station. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
lucerne-chapel-bridge,2,prepare,What to prepare,Comfortable shoes for cobbles and the wall walk. Bring a light layer for boat trips. A Schengen visa is required.,
lucerne-chapel-bridge,3,custom,Best time to visit,May to October is best for lake cruises and mountain excursions. December brings Christmas markets. Early morning is quietest on the bridge.,
lucerne-chapel-bridge,4,custom,Make it special,"Take a private boat across Lake Lucerne, then ride up Mount Rigi or Pilatus for lunch above the clouds.",
glacier-express,1,reach,How to reach,"Fly into Zurich (ZRH) or Geneva (GVA). Reach Zermatt by train in about 3 hours 30 minutes to 4 hours via Visp; the Glacier Express departs from Zermatt station. The route can also be taken in reverse from St Moritz. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
glacier-express,2,prepare,What to prepare,"Seat reservations are compulsory and sell out in summer; Excellence Class should be booked months ahead. Carry a layer, as the carriages are warm in the sun but the stations are cold. A Schengen visa is required.",
glacier-express,3,custom,Best time to visit,Summer offers green valleys and long daylight; winter brings deep snow and crisp views. Sit on the side recommended by the operator for your direction of travel.,
glacier-express,4,custom,Make it special,"Book Excellence Class, then continue to St Moritz's grand lakeside hotels for a few days in the Engadin.",
acropolis-athens,1,reach,How to reach,"Fly into Athens (ATH). Allow about 40 minutes by car or metro to the centre; Akropoli metro station is beside the Acropolis Museum and the southern entrance. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
acropolis-athens,2,prepare,What to prepare,"Book a timed entry slot online in advance. Wear shoes with good grip; the ancient marble is polished and slippery. Bring water, a hat and sun cream, as there is little shade. A Schengen visa is required.",
acropolis-athens,3,custom,Best time to visit,April to June and September to October are best. Go at opening or in the last hours of the day for softer light and fewer people; midday in July and August is very hot.,
acropolis-athens,4,custom,Make it special,"Take a private archaeologist-guide for the first entry of the day, then dine on a rooftop in Plaka or at the Hotel Grande Bretagne facing the floodlit Parthenon.",
oia-santorini,1,reach,How to reach,"Fly into Santorini (JTR), about 25-30 minutes by car to Oia. Ferries from Piraeus near Athens take about 5 to 8 hours depending on the vessel. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
oia-santorini,2,prepare,What to prepare,"Pack flat shoes for steep, polished steps, plus sunglasses and sun cream. Book hotels and sunset tables months ahead for summer. A Schengen visa is required.",
oia-santorini,3,custom,Best time to visit,"May, June, September and early October are warm with calmer crowds than July and August. The best light is at sunset, but early morning in Oia is peaceful and almost empty.",
oia-santorini,4,custom,Make it special,"Charter a private catamaran for the afternoon to swim at the volcanic hot springs and watch the sunset from the water, with dinner on board.",
meteora-monasteries,1,reach,How to reach,"Fly into Athens (ATH), then take the train to Kalambaka (about 4 to 5 hours) or drive (about 4 hours). Thessaloniki (SKG) is about 3 hours by car. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
meteora-monasteries,2,prepare,What to prepare,"Dress modestly: women should wear skirts below the knee (wraps are often provided at the entrance), men long trousers, and shoulders covered for all. Each monastery closes on a different weekday, so check before you go. Expect many steps.",
meteora-monasteries,3,custom,Best time to visit,"April to June and September to October bring mild weather and clear views. Arrive at the first monasteries early, and stay for sunset from the viewpoints along the road.",
meteora-monasteries,4,custom,Make it special,"Walk the old monks' footpaths between monasteries with a private local guide, and end with sunset over the rocks.",
mykonos-little-venice,1,reach,How to reach,"Fly into Mykonos (JMK), about 10 minutes by car to town. Ferries from Piraeus or Rafina near Athens take about 2 hours 30 minutes to 5 hours. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
mykonos-little-venice,2,prepare,What to prepare,"Bring sun protection and a hat for Delos, which has almost no shade. Check Delos boat times, as sailings depend on the weather. A Schengen visa is required.",
mykonos-little-venice,3,custom,Best time to visit,"May, June and September are warm and calmer than July and August, when the meltemi wind blows hard and the island is at its busiest. Little Venice is at its best at sunset.",
mykonos-little-venice,4,custom,Make it special,"Take a private boat to Delos with an archaeologist-guide early in the day, then continue to Rhenia's quiet coves for a swim.",
fushimi-inari-taisha,1,reach,How to reach,"Fly into Kansai International (KIX); the Haruka express reaches Kyoto Station in about 75 minutes. From Kyoto Station, JR Inari Station is two stops (about 5 minutes) and faces the shrine gate. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
fushimi-inari-taisha,2,prepare,What to prepare,"Wear comfortable shoes for many stone steps, and carry water. The shrine is free to enter. Pakistani passport holders need a Japanese visa arranged in advance. Bow slightly when passing through the main gate and walk to the side of the path.",
fushimi-inari-taisha,3,custom,Best time to visit,"November for autumn colour and late March to early April for cherry blossom, though these are busiest. Go at dawn or in the early evening, when the lanterns are lit and the trails are quiet.",
kinkaku-ji,1,reach,How to reach,"Fly into Kansai International (KIX) and take the Haruka express to Kyoto Station (about 75 minutes). From there, Kinkaku-ji is about 30-40 minutes by taxi or city bus in north-western Kyoto. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
kinkaku-ji,2,prepare,What to prepare,"The garden route is one-way and busy, so allow time. The pavilion itself cannot be entered. Pakistani passport holders need a Japanese visa arranged in advance.",
kinkaku-ji,3,custom,Best time to visit,"Arrive at opening for calm water and reflections. Autumn maples in November are lovely, and a rare snowfall in winter makes the gold stand out against white.",
kinkaku-ji,4,custom,Good to know,"Combine the visit with nearby Ryōan-ji and its famous rock garden, a short taxi ride away.",
arashiyama-bamboo-grove,1,reach,How to reach,"Fly into Kansai International (KIX) and take the Haruka express to Kyoto Station (about 75 minutes). From Kyoto Station, the JR Sagano Line reaches Saga-Arashiyama in about 15 minutes. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
arashiyama-bamboo-grove,2,prepare,What to prepare,"Walk the grove quietly and keep to the path. Wear comfortable shoes; shoes are removed inside temple halls, so socks without holes help. Pakistani passport holders need a Japanese visa arranged in advance.",
arashiyama-bamboo-grove,3,custom,Best time to visit,"Go at dawn, before tour groups arrive. November brings autumn colour and early April cherry blossom, both busy seasons.",
arashiyama-bamboo-grove,4,custom,Make it special,"Stay at Hoshinoya Kyoto, arriving by private boat along the river, or take a traditional boat through the Hozu river gorge.",
senso-ji,1,reach,How to reach,"Fly into Tokyo Haneda (HND), about 30-40 minutes by car or train, or Narita (NRT), about 1 hour by direct train to Asakusa Station, a few minutes' walk from the temple. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
senso-ji,2,prepare,What to prepare,Carry some cash for small stalls and fortune slips. The temple grounds are free. Pakistani passport holders need a Japanese visa arranged in advance.,
senso-ji,3,custom,Best time to visit,"Early morning is quiet and the grounds stay open after dark, when the buildings are lit. The Sanja Matsuri festival fills Asakusa in May, and cherry blossom follows in late March to early April.",
senso-ji,4,custom,Make it special,"Take a private rickshaw ride through Asakusa, then continue by boat along the Sumida River.",
hakone-lake-ashi,1,reach,How to reach,"Fly into Tokyo Haneda (HND) or Narita (NRT). The Romancecar from Shinjuku reaches Hakone-Yumoto in about 1 hour 30 minutes, or take the shinkansen from Tokyo to Odawara in about 35 minutes and change for the local line. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
hakone-lake-ashi,2,prepare,What to prepare,"Pack light; ryokan provide yukata robes. Communal baths are taken without swimwear, and many restrict tattoos, so a room with a private onsen is ideal. Pakistani passport holders need a Japanese visa arranged in advance.",
hakone-lake-ashi,3,custom,Best time to visit,"Late October to February gives the clearest Fuji views, often in the morning. Autumn colour peaks in November. Summer is humid, and Fuji is often hidden by cloud.",
hakone-lake-ashi,4,custom,Make it special,"Book a ryokan suite with an open-air bath facing the mountains and an in-room kaiseki dinner, served course by course by your attendant.",
neuschwanstein-castle,1,reach,How to reach,"Fly into Munich (MUC). Trains from Munich run to Füssen in about two hours, then a short bus ride reaches Hohenschwangau; by car it is roughly two hours. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
neuschwanstein-castle,2,prepare,What to prepare,"Buy timed tour tickets online well ahead, as same-day tickets often sell out; tickets are for a fixed entry slot. The walk up from the village takes about 30 to 40 minutes, so wear comfortable shoes. Photography is not allowed inside. A Schengen visa is required.",
neuschwanstein-castle,3,custom,Best time to visit,"May, June, September and early October bring mild weather and green or golden hillsides. Take the earliest tour slot to avoid the midday crowds. Winter snow is beautiful, but the Marienbrücke may close in icy conditions.",
neuschwanstein-castle,4,custom,Make it special,"Stay a night by the Alpsee and walk up at first light before the coaches arrive, or arrange a private guide who can also take you to Linderhof Palace, Ludwig's smaller retreat.",
berlin-brandenburg-gate-museum-island,1,reach,How to reach,"Fly into Berlin Brandenburg (BER). Airport trains reach the city centre in about 30 minutes. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
berlin-brandenburg-gate-museum-island,2,prepare,What to prepare,"Visits to the Reichstag dome are free but must be registered online in advance, with photo ID on the day. Book timed museum tickets ahead and wear good walking shoes; the city is large and spread out. A Schengen visa is required.",
berlin-brandenburg-gate-museum-island,3,custom,Best time to visit,May to September offers long days and outdoor cafés. December brings Christmas markets. Visit the Reichstag dome at sunset for the view over the Tiergarten.,
berlin-brandenburg-gate-museum-island,4,custom,Make it special,"Hire a private historian-guide for a Cold War walk, from Checkpoint Charlie to Bernauer Strasse, then end with dinner in Mitte.",
rhine-valley-castles,1,reach,How to reach,"Fly into Frankfurt (FRA). Trains reach Bingen or Koblenz in around one to one and a half hours, and riverside rail lines run along both banks. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
rhine-valley-castles,2,prepare,What to prepare,"Check river-boat timetables in advance, as sailings are reduced outside the main season. Bring a light layer for the deck and comfortable shoes for castle climbs. A Schengen visa is required.",
rhine-valley-castles,3,custom,Best time to visit,May to October is the boating season. September and October add the grape harvest and local wine festivals. Mornings on the water are calmest.,
rhine-valley-castles,4,custom,Make it special,"Book a private tasting at a family Riesling estate, then take the afternoon boat downstream past the Lorelei.",
black-forest,1,reach,How to reach,"Fly into Frankfurt (FRA), Stuttgart (STR) or EuroAirport Basel-Mulhouse-Freiburg (BSL). Trains from Frankfurt reach Baden-Baden in about an hour and a half; a car is best for the high road and villages. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
black-forest,2,prepare,What to prepare,"Bring layers and a rain jacket, as mountain weather changes quickly. Walking shoes are essential for trails and waterfalls. Some traditional spas have nude-only areas, so check the house rules before booking. A Schengen visa is required.",
black-forest,3,custom,Best time to visit,June to September suits walking and driving. October brings autumn colour. December to March brings snow and cross-country skiing on the higher ground.,
black-forest,4,custom,Make it special,"Spend an afternoon at the Friedrichsbad, then dine in one of the Black Forest's Michelin-starred restaurants.",
schonbrunn-palace,1,reach,How to reach,"Fly into Vienna (VIE). The City Airport Train reaches Wien Mitte in about 16 minutes, then the U4 line runs to Schönbrunn station. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
schonbrunn-palace,2,prepare,What to prepare,"Book a timed ticket for the palace tour online, as slots sell out in summer. Allow extra time for the gardens and wear comfortable shoes for the climb to the Gloriette. A Schengen visa is required.",
schonbrunn-palace,3,custom,Best time to visit,"April to June and September to October have pleasant weather and gardens in bloom. Arrive for the first entry slot. In December, a Christmas market fills the forecourt.",
schonbrunn-palace,4,custom,Make it special,"Take a private after-hours or early guided tour where available, then an evening concert in the Orangery.",
salzburg-old-town,1,reach,How to reach,"Fly into Salzburg (SZG), about 20 minutes from the centre, or into Vienna (VIE) or Munich (MUC). Trains from Vienna take about two and a half hours; from Munich, around one and a half to two hours. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
salzburg-old-town,2,prepare,What to prepare,"Book Salzburg Festival tickets months ahead if you plan to attend. Old-town streets are cobbled, so wear flat shoes. Bring an umbrella; Salzburg is known for rain. A Schengen visa is required.",
salzburg-old-town,3,custom,Best time to visit,"May, June and September bring mild weather with fewer crowds. July and August are festival season, lively but busy. Advent brings Christmas markets in the cathedral square.",
salzburg-old-town,4,custom,Make it special,"Book a private chamber-music evening or a dinner concert at the fortress, then return through the lit old town.",
hallstatt,1,reach,How to reach,"Fly into Salzburg (SZG); Hallstatt is about one and a half hours by car. By train, Hallstatt station sits across the lake, and a small ferry crosses to the village in about ten minutes. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
hallstatt,2,prepare,What to prepare,"Book accommodation early, as rooms are few. Respect residents' privacy and keep to public paths. Bring layers and good shoes for the salt mine, which stays cool year-round. A Schengen visa is required.",
hallstatt,3,custom,Best time to visit,"May, June and September to October offer mild weather. Visit early morning or evening, when the day-trip crowds have gone and the lake is often still. Winter snow is atmospheric, and much quieter.",
hallstatt,4,custom,Make it special,"Take a private boat on the lake at dawn, or a guided walk in the Dachstein caves at nearby Obertraun.",
belem-lisbon,1,reach,How to reach,"Fly into Lisbon (LIS). Belém is about 25 minutes by taxi from the airport; from central Lisbon, tram 15 or a short train from Cais do Sodré takes around 20 minutes. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
belem-lisbon,2,prepare,What to prepare,"Book timed entry to the monastery and tower online, and check closing days before you go. Wear flat shoes for cobbles and the tower's narrow stairs. A Schengen visa is required.",
belem-lisbon,3,custom,Best time to visit,March to June and September to October have mild weather. Arrive at opening time; queues build by late morning. Late afternoon light on the riverfront is soft and golden.,
belem-lisbon,4,custom,Make it special,"Arrange a private guide for the monastery, then a sunset sail on the Tagus past the Belém Tower.",
sintra-pena-palace,1,reach,How to reach,"Fly into Lisbon (LIS). Trains from Lisbon's Rossio station reach Sintra in about 40 minutes, and a car takes a similar time. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
sintra-pena-palace,2,prepare,What to prepare,"Buy timed tickets for Pena Palace online, especially in summer. Roads to the palaces are narrow and steep, so use the local shuttle, a taxi or a private driver rather than driving yourself. Bring a light jacket, as Sintra is often cooler and mistier than Lisbon. A Schengen visa is required.",
sintra-pena-palace,3,custom,Best time to visit,"Spring and autumn are ideal. Take the first entry slot at Pena, before the tour groups. Weekdays are quieter than weekends.",
sintra-pena-palace,4,custom,Make it special,"Hire a private guide and driver for a full day covering Pena, Regaleira and the Monserrate gardens, then lunch on the coast at Cascais.",
porto-douro-valley,1,reach,How to reach,"Fly into Porto (OPO), about 30 minutes from the centre. Trains from Lisbon take about three hours. The Douro line runs from Porto's São Bento station to Pinhão in about two and a half hours, along the river. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
porto-douro-valley,2,prepare,What to prepare,"Book quinta visits and tastings ahead, as many are by appointment. Porto is hilly, so wear comfortable shoes. Arrange a designated driver if you plan to taste. A Schengen visa is required.",
porto-douro-valley,3,custom,Best time to visit,"May, June and September are ideal. The harvest runs from mid-September into October, when estates are busiest and most atmospheric. Midsummer in the valley can be very hot.",
porto-douro-valley,4,custom,Make it special,"Charter a private boat on the Douro, or take a vintage tasting at a historic quinta with lunch among the terraces.",
algarve-coast,1,reach,How to reach,"Fly into Faro (FAO). The central Algarve is 30 to 60 minutes by car from the airport, and Lagos about an hour. From Lisbon, it is about two and a half to three hours by road or train. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
algarve-coast,2,prepare,What to prepare,"Book cave trips with licensed operators, as access rules for Benagil have tightened. Bring sun protection, water and good shoes for the clifftop trail. A Schengen visa is required.",
algarve-coast,3,custom,Best time to visit,"May, June and September have warm seas and fewer crowds than July and August. Go to Benagil early in the morning, when seas are often calmest. Winter is mild and suits walking.",
algarve-coast,4,custom,Make it special,"Charter a private boat along the cliffs, stopping at coves only reachable from the sea.",
amsterdam-canals-rijksmuseum,1,reach,How to reach,"Fly into Amsterdam Schiphol (AMS). Trains reach Amsterdam Centraal in about 15 to 20 minutes. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
amsterdam-canals-rijksmuseum,2,prepare,What to prepare,"Book timed tickets online for the Rijksmuseum, Van Gogh Museum and Anne Frank House, which sells out weeks ahead. Watch for cyclists and keep out of bike lanes. Bring a rain jacket in every season. A Schengen visa is required.",
amsterdam-canals-rijksmuseum,3,custom,Best time to visit,"April to June and September have mild weather. Visit museums at opening time or late in the day. The canals are prettiest in the evening, when the bridges are lit.",
amsterdam-canals-rijksmuseum,4,custom,Make it special,"Take a private boat on a restored saloon launch at dusk, with drinks on board, through the quieter western canals.",
keukenhof-gardens,1,reach,How to reach,"Fly into Amsterdam Schiphol (AMS). Seasonal express buses run from Schiphol to Keukenhof in about 30 minutes, and it is similar by car. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
keukenhof-gardens,2,prepare,What to prepare,"Buy timed tickets online in advance; the park only opens in spring. Bring layers and a light rain jacket, as April weather is changeable. Comfortable shoes help, since the paths cover several kilometres. A Schengen visa is required.",
keukenhof-gardens,3,custom,Best time to visit,"Mid-April is usually peak tulip season, though it varies with the weather. Arrive at opening or come in late afternoon to avoid tour coaches. Weekdays are quieter.",
keukenhof-gardens,4,custom,Make it special,"Take a private guide by bicycle through the surrounding bulb fields, or a scenic flight over them in April.",
kinderdijk-windmills,1,reach,How to reach,"Fly into Amsterdam Schiphol (AMS). Trains reach Rotterdam in about 30 minutes; from Rotterdam, the water bus reaches Kinderdijk in around 40 minutes, or a car takes about 30 minutes. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
kinderdijk-windmills,2,prepare,What to prepare,"Buy tickets online for the museum mills and boat. The site is open and windy, so bring a warm, waterproof layer. Bicycles can be rented to ride the canal paths. A Schengen visa is required.",
kinderdijk-windmills,3,custom,Best time to visit,"April to October is best. On National Mill Day, the second weekend of May, many mills turn and open their doors. Early morning or late afternoon light suits photography.",
kinderdijk-windmills,4,custom,Make it special,Arrive by private water taxi from Rotterdam and walk the mill path at sunset.,
dubrovnik-city-walls,1,reach,How to reach,"Fly into Dubrovnik (DBV), about 30 minutes from the old town by car. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
dubrovnik-city-walls,2,prepare,What to prepare,"Buy wall tickets in advance or at the entrance, and bring water and sun protection; there is little shade on the walls. Wear flat, non-slip shoes for polished stone. Dress modestly in churches. Croatia is in the Schengen area, so a Schengen visa is required.",
dubrovnik-city-walls,3,custom,Best time to visit,"May, June, September and October offer warm weather with fewer crowds than midsummer. Walk the walls at opening time or late afternoon, when cruise passengers thin out. The Dubrovnik Summer Festival fills July and August with open-air performances.",
dubrovnik-city-walls,4,custom,Make it special,"Take a private boat to the island of Lokrum or the Elaphiti Islands, and return for dinner on a terrace overlooking the old harbour.",
plitvice-lakes,1,reach,How to reach,"Fly into Zagreb (ZAG) or Zadar (ZAD). The park is about two hours by car from Zagreb and around one and a half hours from Zadar. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
plitvice-lakes,2,prepare,What to prepare,"Buy timed tickets online, which are required in the busy season. Wear good walking shoes, as boardwalks can be wet and have no railings. Bring a light jacket; the park is cooler than the coast. A Schengen visa is required.",
plitvice-lakes,3,custom,Best time to visit,"May, June, September and October are best, with strong waterfalls in spring and autumn colour in October. Arrive at opening time for quiet walkways. In winter, parts of the park freeze and some trails close.",
plitvice-lakes,4,custom,Make it special,"Book a private naturalist guide for an early walk before the gates fill, then lunch at a country restaurant in the Lika hills.",
diocletians-palace-split,1,reach,How to reach,"Fly into Split (SPU), about 30 minutes from the centre by car. Split is also a ferry hub for the islands. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
diocletians-palace-split,2,prepare,What to prepare,"Buy tickets for the cathedral, bell tower and substructures on site. Wear comfortable shoes for stone steps. Dress modestly in the cathedral, with shoulders and knees covered. A Schengen visa is required.",
diocletians-palace-split,3,custom,Best time to visit,"May, June, September and October bring warm weather and fewer crowds. Visit early morning or in the evening, when the Peristyle is lit and the day-trippers leave.",
diocletians-palace-split,4,custom,Make it special,"Take a private guided walk at dusk, then dine on the Riva waterfront.",
hvar-island,1,reach,How to reach,"Fly into Split (SPU). From Split harbour, fast catamarans reach Hvar town in about one hour, and car ferries reach Stari Grad in around two hours. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
hvar-island,2,prepare,What to prepare,Book ferry and catamaran seats ahead in summer. Bring sun protection and water shoes for pebble beaches. Hvar town has rules against wearing swimwear in the streets. A Schengen visa is required.,
hvar-island,3,custom,Best time to visit,"June and September are ideal, with warm seas and fewer crowds. Late June to July brings lavender in bloom. July and August are busiest, especially in Hvar town's nightlife.",
hvar-island,4,custom,Make it special,"Charter a private boat to the Pakleni Islands for swimming and a seafood lunch, returning to Hvar at sunset.",
great-wall-mutianyu,1,reach,How to reach,"Fly into Beijing Capital (PEK) or Beijing Daxing (PKX). Mutianyu lies about 70 kilometres northeast of the city, usually 1.5 to 2 hours by private car, a little less from Capital airport. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
great-wall-mutianyu,2,prepare,What to prepare,"Wear shoes with good grip, as some steps are steep and uneven. Carry water and a layer for the wind on the ridge, and bring your passport, which is needed to buy tickets in China.",
great-wall-mutianyu,3,custom,Best time to visit,"April to May and September to October bring clear skies and mild weather, with October's autumn colour the highlight. Arrive at opening on a weekday to have long stretches to yourself; avoid Chinese national holidays, especially the first week of October.",
forbidden-city,1,reach,How to reach,"Fly into Beijing Capital (PEK), about 45 minutes by car, or Beijing Daxing (PKX), about an hour. Tiananmen East station on Metro Line 1 is the closest stop to the entrance. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
forbidden-city,2,prepare,What to prepare,"Tickets are timed, sold in advance under your passport name and capped each day, so book several days ahead, especially in summer. Bring the same passport for entry. Expect a lot of walking on stone paving, so wear comfortable shoes. The museum is closed on most Mondays.",
forbidden-city,3,custom,Best time to visit,"Spring and autumn are the most comfortable, with October skies usually clearest. Enter at opening and head straight for the inner courts before the tour groups arrive. Winter is cold but quiet, and snow on the yellow roofs is a rare treat.",
terracotta-army,1,reach,How to reach,"Fly into Xi'an Xianyang (XIY), or take the high-speed train from Beijing, about 4.5 to 6 hours. The site is roughly 40 kilometres east of the city centre, about an hour by car. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
terracotta-army,2,prepare,What to prepare,"Buy tickets in advance with your passport details and hire a licensed guide, as signage is limited and the history makes far more sense explained. Wear comfortable shoes; the three pits and museum involve plenty of walking.",
terracotta-army,3,custom,Best time to visit,"March to May and September to November are mild. Arrive at opening, visit Pit 1 first, then the smaller pits once the tour groups move in. Avoid Chinese national holidays, when the halls are packed.",
terracotta-army,4,custom,Make it special,"Pair the visit with an evening cycle or walk along Xi'an's 14-kilometre Ming city wall, followed by a private dinner of Shaanxi dishes in the old Muslim quarter.",
li-river-cruise,1,reach,How to reach,"Fly into Guilin Liangjiang (KWL). Cruises leave from piers south of Guilin, about 45 minutes by car, and end at Yangshuo, around 1.5 hours by road back to Guilin. From Pakistan, usually one stop via Dubai, Doha, Abu Dhabi or Istanbul.",
li-river-cruise,2,prepare,What to prepare,"Book cruise tickets ahead in peak season and carry your passport. Bring a light rain jacket and sun protection, as the weather changes quickly on the water.",
li-river-cruise,3,custom,Best time to visit,"April to October has the fullest river and greenest hills, though summer is hot and wet. September to November is often the best balance of clear air and good water levels. In the dry winter months low water can shorten the cruise route. Early morning brings mist around the peaks.",
