slug,name,country,location,summary,description,coverImage,images,classification,featured,visitDuration,priceFrom,hotelsAvailable,stayNote,isActive,displayOrder
alhambra,Alhambra,Spain,Granada,"The Nasrid palaces and gardens of Granada, the finest surviving Islamic palace complex in Europe.","The Alhambra was founded by Muhammad I, first ruler of the Nasrid dynasty, in the thirteenth century, and his successors built its palaces over the following hundred and fifty years. Granada was the last Muslim kingdom in Spain until 1492. Inside the Nasrid Palaces, carved stucco, tiled walls and muqarnas ceilings frame courtyards of water, including the Court of the Lions.

Look closely and you will see one Arabic phrase repeated thousands of times: ""There is no victor but God"", the Nasrid motto. Beyond the palaces lie the Alcazaba fortress, the Renaissance palace of Charles V and the Generalife, the summer gardens with long water channels and views across the Albaicín.",/images/world/attractions/alhambra.jpg,,exclusive,true,Half day,,true,"Parador de Granada, a former convent inside the Alhambra grounds",true,7
sagrada-familia,Sagrada Família,Spain,Barcelona,"Gaudí's unfinished basilica in Barcelona, where stone columns branch like trees beneath coloured light.","Construction began in 1882, and Antoni Gaudí took over the project the following year, devoting the rest of his life to it until his death in 1926. He is buried in the crypt. The basilica was consecrated by Pope Benedict XVI in 2010, and work continues, with the central Tower of Jesus Christ designed to rise to 172.5 metres.

Inside, columns split into branches to hold up the vaults like a stone forest. The stained glass is arranged by the sun: cool blues and greens on the eastern side for morning, warm reds and oranges on the western side for evening. Lifts go up into the Nativity or Passion towers.",/images/world/attractions/sagrada-familia.jpg,,standard,false,2-3 hours,,true,"Stay in the Eixample, around 15 minutes by taxi",true,45
real-alcazar-seville,Real Alcázar of Seville,Spain,Seville,"A royal palace of Mudéjar courtyards and gardens, still used by the Spanish royal family.","The Real Alcázar grew from a Muslim-era fortress, but its most celebrated part, the Palace of Pedro I, was built from 1364 by Castilian king Pedro I using craftsmen from Granada, Toledo and Seville. The result is Mudéjar architecture: Islamic-style carved plaster, tiles and wooden ceilings made for a Christian king. The Courtyard of the Maidens, with its long pool, is at its heart.

The upper floor remains the royal family's residence when in Seville, making it one of the oldest royal palaces still in use in Europe. Leave time for the gardens, with their pavilions, fountains and orange trees, and for the vaulted baths of Doña María de Padilla below.",/images/world/attractions/real-alcazar-seville.jpg,,standard,false,2-3 hours,,true,"Stay in the Santa Cruz quarter, a few minutes' walk",true,46
prado-museum,Museo del Prado,Spain,Madrid,"Spain's great art museum, home to Velázquez's Las Meninas, Goya and Bosch.","The Prado opened in 1819 in a neoclassical building by Juan de Villanueva and holds one of the world's finest collections of European painting. It is strongest in the Spanish masters: Velázquez's Las Meninas, El Greco's elongated saints, and Goya from bright court portraits to the dark, private Black Paintings.

Flemish and Italian works are just as rich, above all Hieronymus Bosch's Garden of Earthly Delights and Titian's portraits. The Prado forms Madrid's Golden Triangle of Art with the Thyssen-Bornemisza and Reina Sofía museums, all a short walk apart along the Paseo del Prado. Choose a few rooms and give them time.",/images/world/attractions/prado-museum.jpg,,standard,false,3-4 hours,,true,"Mandarin Oriental Ritz, Madrid, stands across the street",true,47
matterhorn-gornergrat,Matterhorn and Gornergrat,Switzerland,Zermatt,"The Alps' most famous peak, seen from a cog railway climbing above Zermatt to 3,089 metres.","The Matterhorn rises to 4,478 metres on the Swiss-Italian border, its pyramid visible from almost every corner of Zermatt. It was first climbed on 14 July 1865 by Edward Whymper's party; four of the seven men died on the descent, and their story is told in the village's Matterhorn Museum.

The Gornergrat Railway, opened in 1898, climbs from Zermatt to 3,089 metres, facing the Matterhorn and a ring of more than twenty peaks over 4,000 metres with the Gorner Glacier below. Separately, cable cars reach Matterhorn Glacier Paradise at 3,883 metres. On calm mornings, walk to the Riffelsee lake for the peak's reflection.",/images/world/attractions/matterhorn-gornergrat.jpg,,special,true,Full day,,true,"Stay in Zermatt, or at Riffelalp at 2,222 metres on the Gornergrat line",true,6
jungfraujoch,Jungfraujoch,Switzerland,Jungfrau Region,"Europe's highest railway station at 3,454 metres, above the great Aletsch Glacier.","The Jungfrau Railway was built between 1896 and 1912, tunnelling through the Eiger and the Mönch to reach the Jungfraujoch saddle at 3,454 metres, the highest railway station in Europe. On the way, the train stops briefly at windows cut into the Eiger's north face.

At the top, the Sphinx terrace looks down on the Aletsch Glacier, the longest in the Alps at over 20 kilometres. There is an ice palace carved inside the glacier, and in summer you can walk on the snow plateau outside. Since 2020, the Eiger Express gondola from Grindelwald has shortened the journey considerably.",/images/world/attractions/jungfraujoch.jpg,,standard,false,Full day,,false,"Stay in Interlaken, Grindelwald or Wengen, one to two hours below",true,48
lucerne-chapel-bridge,Lucerne Old Town and Chapel Bridge,Switzerland,Lucerne,"A covered medieval bridge across the Reuss, in a lakeside old town ringed by mountains.","The Chapel Bridge was built in the fourteenth century as part of Lucerne's fortifications and is one of the oldest covered wooden bridges in Europe. Under its roof hang triangular panels painted in the seventeenth century with scenes from Swiss and local history. Much of the bridge burned in 1993 and was carefully rebuilt; the stone Water Tower beside it survived.

Around it, the old town has painted façades, quiet squares and a well-preserved stretch of city wall with towers you can climb. A short walk away, the Lion Monument, carved into rock in 1821, honours Swiss Guards killed in Paris in 1792. Lake steamers leave from the station quay for Mount Rigi and Pilatus.",/images/world/attractions/lucerne-chapel-bridge.jpg,,standard,false,Half day,,true,"Stay on the lakefront, a short walk from the bridge",true,49
glacier-express,Glacier Express,Switzerland,Zermatt,An eight-hour panoramic train from Zermatt to St Moritz across 291 bridges and through 91 tunnels.,"The Glacier Express has run between Zermatt and St Moritz since 1930 and calls itself the slowest express train in the world. The journey takes around eight hours, crossing 291 bridges and passing through 91 tunnels, and climbs to 2,033 metres at the Oberalp Pass.

The highlight for many is the Landwasser Viaduct near Filisur, where the train curves across a tall stone arch straight into a tunnel in the cliff. Panoramic windows run up into the roof. Excellence Class adds reserved window seats, a bar and a multi-course menu served at your seat.",/images/world/attractions/glacier-express.jpg,,standard,false,Full day,,true,Stay a night in Zermatt before and in St Moritz after,true,50
acropolis-athens,Acropolis of Athens,Greece,Athens,"The Parthenon and its companion temples on a limestone rock above Athens, built in the fifth century BC.","The Parthenon was built between 447 and 432 BC under Pericles, designed by Ictinus and Callicrates, with sculpture overseen by Phidias. It stands with the Propylaea gateway, the small Temple of Athena Nike and the Erechtheion, whose porch is held up by six maidens known as the Caryatids.

The Caryatids on the rock today are copies. Five originals stand in the Acropolis Museum below, which opened in 2009; the sixth is in the British Museum. The museum's top floor is aligned with the Parthenon and displays its frieze at full scale, with glass floors over an excavated ancient neighbourhood beneath.",/images/world/attractions/acropolis-athens.jpg,,special,true,Half day,,true,"Stay in Plaka or Makrygianni, at the foot of the rock",true,8
oia-santorini,Oia,Greece,Santorini,"A whitewashed village on Santorini's caldera cliffs, famous for its blue domes and sunsets.","Santorini's caldera was formed by a vast volcanic eruption around 3,600 years ago, which left a ring of cliffs around a flooded crater. Oia sits at the island's northern tip, its white houses and cave suites cut into the rock, with blue-domed churches and old captains' mansions from its seafaring past.

The sunset over the caldera draws large crowds to the castle ruins every evening. A quieter option is to watch from a private terrace, or from a boat on the water. Below the village, around 300 steps lead down to Amoudi Bay, where tavernas serve fresh fish at the water's edge.",/images/world/attractions/oia-santorini.jpg,,standard,false,Full day,,true,Cave suites with private pools line the cliffs of Oia,true,51
meteora-monasteries,Meteora Monasteries,Greece,Meteora,Byzantine monasteries built on sandstone pillars rising hundreds of metres above Thessaly.,"Monks began settling on the rock towers of Meteora in the eleventh century, and from the fourteenth century they built monasteries on the summits. There were once more than twenty; six remain active today, including the Great Meteoron, founded by Saint Athanasios. The site has been a UNESCO World Heritage Site since 1988.

For centuries, monks and supplies were hauled up in nets and baskets on ropes. Steps were cut into the rock in the twentieth century, though the old winches can still be seen. Inside, the churches are covered with frescoes, and the terraces look out over the plain towards the Pindus mountains.",/images/world/attractions/meteora-monasteries.jpg,,standard,false,Full day,,true,"Stay in Kalambaka or Kastraki, directly below the rocks",true,52
mykonos-little-venice,Mykonos Town and Little Venice,Greece,Mykonos,"Whitewashed lanes, windmills and sea-edge balconies, with ancient Delos a short boat ride away.","Mykonos Town, known as Chora, is a maze of whitewashed lanes, small chapels and bougainvillea, laid out partly to confuse pirates and the strong north wind. In Little Venice, eighteenth-century captains' houses stand directly on the water, their balconies over the waves. On the hill above, a row of old windmills once ground the island's grain.

The most rewarding excursion is to Delos, a short boat ride away. In Greek myth it is the birthplace of Apollo and Artemis, and the whole island is an archaeological site, with the Terrace of the Lions and the remains of houses with mosaic floors. No one stays overnight there.",/images/world/attractions/mykonos-little-venice.jpg,,standard,false,Full day,,true,"Stay in or just outside Chora, with beach resorts a short drive away",true,53
fushimi-inari-taisha,Fushimi Inari Taisha,Japan,Kyoto,"Kyoto's great Shinto shrine, with thousands of vermilion torii gates climbing Mount Inari.","Fushimi Inari Taisha dates back to 711 and is the head shrine of Inari, the Shinto deity of rice and prosperity, venerated at around 30,000 shrines across Japan. Its famous tunnels of vermilion torii gates have been donated over the centuries by businesses and families, each inscribed on the back with the donor's name.

The gates line a network of trails up Mount Inari, 233 metres high, and a full circuit to the summit takes two to three hours. Stone foxes, messengers of Inari, guard the paths, often with a key to the rice granary in their mouths. The crowds thin sharply after the Yotsutsuji intersection, about halfway up, which also has a view over Kyoto.",/api/placeholder.svg?t=Fushimi%20Inari%20Taisha&s=Kyoto%2C%20Japan,,standard,false,2-3 hours,,false,"Stay in central Kyoto, about 15 minutes away",true,54
kinkaku-ji,Kinkaku-ji (Golden Pavilion),Japan,Kyoto,"A Zen temple pavilion covered in gold leaf, reflected in a still garden pond.","Kinkaku-ji was built in 1397 as the retirement villa of the shogun Ashikaga Yoshimitsu and became a Zen temple after his death. Its upper two floors are covered in gold leaf, and a bronze phoenix stands on the roof. Each floor is in a different architectural style, from palace to samurai house to Zen hall.

The original pavilion was burned in 1950 by a young monk, an event that inspired Yukio Mishima's novel The Temple of the Golden Pavilion. The present building was completed in 1955. The pavilion is seen from across the Mirror Pond, and the path continues past moss gardens and a small tea house.",/api/placeholder.svg?t=Kinkaku-ji%20(Golden%20Pavilion)&s=Kyoto%2C%20Japan,,standard,false,1-2 hours,,false,"Stay in central Kyoto, about 30 minutes by car",true,55
arashiyama-bamboo-grove,Arashiyama Bamboo Grove and Tenryū-ji,Japan,Kyoto,Towering bamboo paths and a fourteenth-century Zen temple garden on Kyoto's western edge.,"Arashiyama lies at the foot of forested hills on Kyoto's western side, where aristocrats once came to boat on the river and view the maples. Its bamboo grove is a short path between tall, swaying stalks, with a soft creaking sound when the wind moves through.

Beside the grove, Tenryū-ji was founded in 1339 and is one of Kyoto's great Zen temples, now a UNESCO World Heritage Site. Its pond garden, designed by the monk Musō Soseki, borrows the hills behind as its backdrop. Nearby, the Togetsukyō Bridge crosses the river, and the Ōkōchi Sansō villa has quiet gardens and a tea house.",/api/placeholder.svg?t=Arashiyama%20Bamboo%20Grove%20and%20Tenry%C5%AB-ji&s=Kyoto%2C%20Japan,,standard,false,Half day,,true,"Hoshinoya Kyoto, reached by its own boat, sits upriver",true,56
senso-ji,Sensō-ji,Japan,Tokyo,"Tokyo's oldest temple, entered through the Thunder Gate and its great red lantern.","Sensō-ji traces its founding to 628, when, according to legend, two fishermen found a small statue of Kannon, the Buddhist figure of compassion, in the Sumida River. It is Tokyo's oldest temple and the heart of the Asakusa district. Visitors enter through the Kaminarimon, or Thunder Gate, hung with a giant red paper lantern.

From the gate, Nakamise-dori runs for about 250 metres to the main hall, lined with stalls selling rice crackers, sweets and craft souvenirs. Before the hall, people waft incense smoke over themselves for good health. The five-storey pagoda and the main hall were rebuilt after the Second World War.",/api/placeholder.svg?t=Sens%C5%8D-ji&s=Tokyo%2C%20Japan,,standard,false,2-3 hours,,true,"Stay in Asakusa, a short walk away, or in central Tokyo",true,57
hakone-lake-ashi,Hakone and Lake Ashi,Japan,Hakone,"Hot-spring ryokan, a volcanic valley and a lakeside shrine gate, with Mount Fuji beyond.","Hakone is a mountain hot-spring area within Fuji-Hakone-Izu National Park, long a retreat from Tokyo. A loop of mountain railway, cable car, ropeway and lake boat links its sights. The ropeway passes over Ōwakudani, a steaming volcanic valley where eggs are boiled black in the sulphur springs; eating one is said to add seven years to your life.

On Lake Ashi, the red torii of Hakone Shrine stands in the water, and on clear days Mount Fuji, 3,776 metres high, rises behind the lake. The Hakone Open-Air Museum sets sculpture across hillside lawns. Evenings belong to the ryokan, with kaiseki dinners and a private hot-spring bath.",/api/placeholder.svg?t=Hakone%20and%20Lake%20Ashi&s=Hakone%2C%20Japan,,standard,false,2 days,,true,"Stay in a ryokan with a private onsen, such as Gora Kadan",true,58
neuschwanstein-castle,Neuschwanstein Castle,Germany,Bavarian Alps,"King Ludwig II's romantic hilltop castle above the Pöllat Gorge, the model for many a fairytale palace.","Ludwig II of Bavaria began Neuschwanstein in 1869 as a private retreat inspired by medieval legend and Wagner's operas. It was still unfinished when he died in 1886, and it opened to the public within weeks of his death. Inside, the guided tour covers the throne hall, the Singers' Hall and the king's rooms, with their painted scenes from Germanic sagas.

The classic view is from the Marienbrücke, an iron footbridge over the Pöllat Gorge behind the castle. Below sits Hohenschwangau, the yellow castle where Ludwig grew up, which can be visited on the same day. The alpine lakes Alpsee and Schwansee lie a short walk away.",/api/placeholder.svg?t=Neuschwanstein%20Castle&s=Bavarian%20Alps%2C%20Germany,,standard,false,Half day,,true,"Stay in Hohenschwangau or Füssen, a few minutes by road",true,59
berlin-brandenburg-gate-museum-island,Berlin: Brandenburg Gate and Museum Island,Germany,Berlin,"Berlin's historic heart, from the Brandenburg Gate and Reichstag dome to the five museums of Museum Island.","The Brandenburg Gate, completed in 1791, stood in no man's land during the Cold War and is now the symbol of reunified Germany. A short walk away, the Reichstag's glass dome by Norman Foster lets visitors climb a spiral ramp above the parliament chamber. Further east, Museum Island holds five museums on an island in the Spree and has been UNESCO-listed since 1999.

The Neues Museum displays the bust of Nefertiti, and the Alte Nationalgalerie holds 19th-century painting. For the city's division, the Berlin Wall Memorial on Bernauer Strasse keeps a preserved stretch of the border strip and watchtower. The East Side Gallery offers a long, painted section of the Wall along the river.",/api/placeholder.svg?t=Berlin%3A%20Brandenburg%20Gate%20and%20Museum%20Island&s=Berlin%2C%20Germany,,standard,false,2 days,,true,"Stay in Mitte, walking distance from the Gate and Museum Island",true,60
rhine-valley-castles,Rhine Valley,Germany,Rhine Valley,"A slow cruise through the Upper Middle Rhine, past vineyards, wine villages, the Lorelei rock and dozens of castles.","The Upper Middle Rhine runs for about 65 kilometres between Bingen and Koblenz, a steep river gorge UNESCO-listed in 2002. More than 40 castles and fortresses line the banks, many rebuilt in the 19th century by romantic-minded owners. Riesling vines cover the slopes, and half-timbered villages such as Bacharach and St Goar sit at the water's edge.

The Lorelei, a slate cliff rising about 130 metres above a narrow bend, gave rise to the legend of a siren who lured boatmen. Marksburg Castle above Braubach is the only hilltop castle on this stretch never destroyed, and it is open for guided tours. At Koblenz, the Moselle joins the Rhine at the Deutsches Eck.",/api/placeholder.svg?t=Rhine%20Valley&s=Rhine%20Valley%2C%20Germany,,standard,false,Full day,,true,"Stay in a riverside town such as Bacharach, Boppard or Rüdesheim",true,61
black-forest,Black Forest,Germany,Black Forest,"Dense pine uplands, spa baths in Baden-Baden, waterfalls at Triberg and scenic mountain roads.","The Black Forest covers a long upland range in Baden-Württemberg, reaching 1,493 metres at the Feldberg. Its northern gateway, Baden-Baden, has been a spa town since Roman times, with thermal baths such as the Friedrichsbad and the Caracalla Therme. The Black Forest High Road (B500) climbs south from here through forest and past mountain lakes.

Further south, the Triberg waterfalls drop in seven cascades through the woods and are among the highest in Germany. Farmhouses with deep sloping roofs, cuckoo-clock workshops and walking trails mark the region. Order Schwarzwälder Kirschtorte, the original Black Forest cherry cake, in a village café.",/api/placeholder.svg?t=Black%20Forest&s=Black%20Forest%2C%20Germany,,standard,false,2 days,,true,"Stay in Baden-Baden for spas, or in a forest hotel near Freiburg",true,62
schonbrunn-palace,Schönbrunn Palace,Austria,Vienna,"The Habsburgs' summer palace in Vienna, with state rooms, formal gardens and the Gloriette above the city.","Schönbrunn was the Habsburg summer residence, reshaped in its present baroque form under Empress Maria Theresa in the 18th century. The palace has 1,441 rooms, and the Grand Tour opens 40 of them, including the Great Gallery and the Mirror Room, where a six-year-old Mozart played for the empress in 1762. The palace and gardens have been UNESCO-listed since 1996.

Behind the palace, formal gardens climb to the Gloriette, a colonnaded pavilion completed in 1775 with a view over Vienna. The grounds also hold a palm house, a maze and the Tiergarten, founded in 1752 and the oldest zoo still operating. Nearby in the city centre, the Hofburg continues the imperial story.",/api/placeholder.svg?t=Sch%C3%B6nbrunn%20Palace&s=Vienna%2C%20Austria,,standard,false,Half day,,true,"Stay in Vienna's Innere Stadt, about 20 minutes by U-Bahn",true,63
salzburg-old-town,Salzburg,Austria,Salzburg,"Mozart's baroque birthplace beneath one of Europe's largest medieval fortresses, and home of the Salzburg Festival.","Salzburg's old town, UNESCO-listed since 1996, owes its domes and squares to the prince-archbishops who ruled it for centuries. Hohensalzburg Fortress, begun in 1077, is among the largest fully preserved medieval castles in Europe; a funicular climbs to it from the old town. Mozart was born in 1756 in the yellow house at Getreidegasse 9, now a museum.

Across the river, the Mirabell Gardens were a filming location for The Sound of Music. Every July and August, the Salzburg Festival brings opera, concerts and theatre to the city. The shopping street Getreidegasse is known for its wrought-iron guild signs.",/api/placeholder.svg?t=Salzburg&s=Salzburg%2C%20Austria,,standard,false,Full day,,true,Stay in the old town or on the right bank near Mirabell,true,64
hallstatt,Hallstatt,Austria,Hallstatt,"A lakeside village of painted houses beneath the mountains, with one of the world's oldest salt mines above it.","Hallstatt sits on a narrow shelf between the Hallstätter See and the Dachstein massif, part of the Hallstatt-Dachstein/Salzkammergut World Heritage area listed in 1997. Salt has been mined in the mountain above for about 7,000 years, and a funicular climbs to the mine, where tours include wooden miners' slides. Beside it, the Welterbeblick viewing platform juts out about 360 metres above the village.

In the village, the small Catholic parish church has a charnel house holding hundreds of skulls, many painted with names and flowers. The village has only around 750 residents, and it receives very large numbers of day visitors in season. Staying overnight lets you see it quiet, in the early morning and evening.",/api/placeholder.svg?t=Hallstatt&s=Hallstatt%2C%20Austria,,standard,false,Full day,,true,Stay in Hallstatt itself or nearby Obertraun to see it without the crowds,true,65
belem-lisbon,Belém,Portugal,Lisbon,"Lisbon's riverside district of Manueline monuments, from Jerónimos Monastery to the Belém Tower.","Belém is where Portugal's Age of Discovery is written in stone. The Jerónimos Monastery, begun in 1501, is the finest example of the Manueline style, with carved cloisters of ropes, shells and sea creatures. Vasco da Gama's tomb lies inside the church. The monastery and the Belém Tower have been UNESCO-listed together since 1983.

The Belém Tower, built between 1514 and 1519, once guarded the Tagus estuary. Between the two stands the Monument to the Discoveries, erected in 1960. Pastéis de Belém, the bakery near the monastery, has made its custard tarts since 1837. The MAAT museum adds contemporary architecture on the waterfront.",/api/placeholder.svg?t=Bel%C3%A9m&s=Lisbon%2C%20Portugal,,standard,false,Half day,,true,"Stay in central Lisbon, about 20 minutes by taxi or tram",true,66
sintra-pena-palace,Sintra and Pena Palace,Portugal,Sintra,"A hilltop palace in red and yellow, set in misty forest above Sintra's royal estates and gardens.","Pena Palace was built from 1838 by King Ferdinand II on the ruins of a monastery, a romantic mix of Manueline, Moorish and Gothic styles painted in bold colours. Its rooms are kept as the royal family left them in the early 20th century. Sintra's cultural landscape was UNESCO-listed in 1995.

Around it, the 200-hectare Pena Park is planted with trees from across the world. Nearby, the Moorish Castle walls follow a granite ridge. In the town below, Quinta da Regaleira hides grottoes and the Initiation Well, a spiral stair descending into the earth. The Sintra National Palace, with its two white chimneys, stands in the town centre.",/api/placeholder.svg?t=Sintra%20and%20Pena%20Palace&s=Sintra%2C%20Portugal,,standard,false,Full day,,true,"Stay in a quinta in Sintra, or in Lisbon, about 40 minutes away",true,67
porto-douro-valley,Porto and the Douro Valley,Portugal,Porto,"Riverside Porto and its port lodges, then terraced vineyards along the Douro by train, boat or car.","Porto's riverside Ribeira district, UNESCO-listed since 1996, climbs steeply from the Douro. The double-deck Dom Luís I Bridge, opened in 1886, links it to Vila Nova de Gaia, where port-wine lodges age wine in cellars. At São Bento station, the entrance hall is lined with around 20,000 painted azulejo tiles.

Upstream, the Alto Douro Wine Region was demarcated in 1756 and UNESCO-listed in 2001. Its schist terraces fold along the river for mile after mile. The town of Pinhão is the heart of the valley, with quintas offering tastings, lunches and rooms among the vines.",/api/placeholder.svg?t=Porto%20and%20the%20Douro%20Valley&s=Porto%2C%20Portugal,,standard,false,2 days,,true,"Stay in Porto's centre, then a night at a wine estate near Pinhão",true,68
algarve-coast,Algarve Coast,Portugal,Algarve,"Golden limestone cliffs, sea caves and sheltered coves along Portugal's sunny southern coast.","The central Algarve coast is carved into cliffs, arches and caves by the Atlantic. The best known is the Benagil sea cave, whose domed roof has a round opening to the sky. Near Lagos, the rock stacks of Ponta da Piedade are best seen from a small boat at water level.

The Seven Hanging Valleys Trail follows the clifftops for about six kilometres between Praia da Marinha and Vale Centeanes, with views down to the coves. Inland, whitewashed towns such as Silves, with its red sandstone castle, show an older, quieter Algarve. Grilled sardines and cataplana stews are the local staples.",/api/placeholder.svg?t=Algarve%20Coast&s=Algarve%2C%20Portugal,,standard,false,2 days,,true,"Stay in a cliff-top resort near Carvoeiro, Lagos or Albufeira",true,69
amsterdam-canals-rijksmuseum,Amsterdam Canals and Rijksmuseum,Netherlands,Amsterdam,"The 17th-century canal ring by boat and on foot, then Rembrandt's The Night Watch at the Rijksmuseum.","Amsterdam's canal ring was laid out in the 17th century and UNESCO-listed in 2010. Its main canals, Herengracht, Keizersgracht and Prinsengracht, are lined with tall, narrow merchants' houses and crossed by arched bridges. Seen from a boat, the gables and hoisting beams make sense of how the city worked.

The Rijksmuseum is the national museum, reopened in 2013 after a ten-year renovation. Its Gallery of Honour leads to Rembrandt's The Night Watch, painted in 1642, and holds Vermeer's The Milkmaid. The Van Gogh Museum and the Anne Frank House are both close by.",/api/placeholder.svg?t=Amsterdam%20Canals%20and%20Rijksmuseum&s=Amsterdam%2C%20Netherlands,,standard,false,Full day,,true,"Stay on the canal ring, within walking distance of the museums",true,70
keukenhof-gardens,Keukenhof,Netherlands,South Holland,"Around seven million spring bulbs in bloom across landscaped gardens, open for only about eight weeks a year.","Keukenhof, near Lisse, is a 32-hectare spring garden first opened to the public in 1950. Each autumn, gardeners plant around seven million bulbs by hand, and the park opens for about eight weeks from mid-March to mid-May. Tulips, hyacinths and daffodils are arranged in drifts under old beech trees, beside ponds and in pavilions.

The gardens sit in the Bollenstreek, the bulb-growing region, so the fields around it turn into stripes of colour in April. A historic windmill in the park looks out over them. Renting a bicycle nearby is the best way to see the fields up close.",/api/placeholder.svg?t=Keukenhof&s=South%20Holland%2C%20Netherlands,,standard,false,Half day,,false,"Stay in Amsterdam or Leiden, about 30 to 45 minutes away",true,71
kinderdijk-windmills,Kinderdijk Windmills,Netherlands,South Holland,Nineteen 18th-century windmills standing in a row along the polder canals near Rotterdam.,"Kinderdijk is the largest group of historic windmills in the Netherlands. Nineteen mills, most built around 1740, once pumped water out of the low polders into higher reservoirs. The site has been UNESCO-listed since 1997 as an example of Dutch water management.

Several mills are still lived in by millers, and two are open as museum mills, so you can see the living quarters and the machinery. A visitor centre explains how the pumping system worked, with the modern pumping stations nearby. A short boat ride along the canal shows the mills from water level.",/api/placeholder.svg?t=Kinderdijk%20Windmills&s=South%20Holland%2C%20Netherlands,,standard,false,Half day,,false,"Stay in Rotterdam, about 40 minutes by water bus",true,72
dubrovnik-city-walls,Dubrovnik Old Town and City Walls,Croatia,Dubrovnik,A complete circuit of medieval walls around a marble-paved city above the Adriatic.,"Dubrovnik's walls run for about 1.9 kilometres around the old town, rising in places to 25 metres. Built and strengthened mainly between the 13th and 17th centuries, they protected the independent Republic of Ragusa. The walk takes in towers such as Minčeta, the highest point, and views over red-tiled roofs to the sea. The old town has been UNESCO-listed since 1979.

Inside, the limestone Stradun runs from the Pile Gate to the old harbour. The Rector's Palace, the Franciscan monastery with one of Europe's oldest working pharmacies, and the Sponza Palace line the route. A cable car climbs Mount Srđ for the full view.",/api/placeholder.svg?t=Dubrovnik%20Old%20Town%20and%20City%20Walls&s=Dubrovnik%2C%20Croatia,,standard,false,Full day,,true,"Stay just outside the walls in Ploče or Pile, a short walk from the gates",true,73
plitvice-lakes,Plitvice Lakes National Park,Croatia,Plitvice Lakes,Sixteen terraced lakes linked by waterfalls and wooden boardwalks in a forested national park.,"Plitvice Lakes became Croatia's first national park in 1949 and was UNESCO-listed in 1979. Sixteen named lakes step down through a limestone valley, divided by travertine barriers that are still growing. The water shifts between turquoise, green and blue with the light and minerals.

Wooden walkways cross the water just above its surface, and an electric boat crosses Kozjak, the largest lake. At the lower end, Veliki Slap falls about 78 metres, the highest waterfall in Croatia. Swimming is not allowed anywhere in the park. The full circuit of upper and lower lakes takes most of a day on foot.",/api/placeholder.svg?t=Plitvice%20Lakes%20National%20Park&s=Plitvice%20Lakes%2C%20Croatia,,standard,false,Full day,,true,Stay in a hotel inside the park or in a nearby village for an early start,true,74
diocletians-palace-split,Diocletian's Palace,Croatia,Split,"A Roman emperor's retirement palace that became the living heart of Split, with cafés inside its walls.","Roman emperor Diocletian built this palace around the turn of the 4th century AD as his retirement home. Instead of becoming a ruin, it became a town: houses, shops and churches were built into its walls. It has been UNESCO-listed since 1979.

The Peristyle, the colonnaded central courtyard, remains a meeting place. The emperor's mausoleum is now the Cathedral of St Domnius, and its bell tower can be climbed for views over the harbour. Below the palace, the vaulted substructures preserve the original floor plan of the rooms above. The Golden Gate, on the north side, faces a bronze statue of Bishop Gregory of Nin.",/api/placeholder.svg?t=Diocletian's%20Palace&s=Split%2C%20Croatia,,standard,false,Half day,,true,Stay inside or just outside the palace walls,true,75
hvar-island,Hvar,Croatia,Hvar,"A sunny Adriatic island of Venetian squares, lavender and vines, with the Pakleni Islands a short boat ride away.","Hvar town's main square opens onto a harbour of yachts, framed by the Cathedral of St Stephen and the Venetian arsenal. Above the town, the Fortica fortress looks out over red roofs to the Pakleni Islands. The theatre above the arsenal, founded in 1612, is among the oldest public theatres in Europe.

Across the island, the Stari Grad Plain keeps the field divisions laid out by Greek colonists in the 4th century BC, and was UNESCO-listed in 2008. Inland, lavender fields bloom in early summer. The Pakleni Islands offer quiet coves for swimming.",/api/placeholder.svg?t=Hvar&s=Hvar%2C%20Croatia,,standard,false,2 days,,true,"Stay in Hvar town, or in quieter Stari Grad or Jelsa",true,76
great-wall-mutianyu,Great Wall at Mutianyu,China,Beijing,"A restored Ming stretch of the Great Wall, lined with watchtowers and wrapped in forest, about 90 minutes from central Beijing.","Mutianyu is one of the best preserved sections of the Great Wall near Beijing. The present wall was rebuilt in 1569 under the Ming, on foundations laid a thousand years earlier, and the restored stretch runs for over two kilometres along a steep, wooded ridge with more than twenty watchtowers.

The views are of layered hills rather than city sprawl, and the forest turns gold and red in autumn. A cable car or chairlift saves the climb up. The insider choice is to walk west towards the higher towers, where the steps steepen and the crowds thin quickly. Many visitors ride the toboggan back down.",/api/placeholder.svg?t=Great%20Wall%20at%20Mutianyu&s=Beijing%2C%20China,,standard,false,Half day,,false,Stay in central Beijing and go by private car,true,77
